id,lodging_revenue,other_revenue,total_revenue
727,166.19,134.5,300.69
728,230.0,70.0,300.0
730,138.0,87.0,225.0
733,300.0,92.5,392.5
735,164.97,51.0,215.97
737,0.0,6.0,6.0
738,156.0,21.0,177.0
739,300.0,84.0,384.0
741,300.0,84.0,384.0
743,300.0,84.0,384.0
745,73.0,7.0,80.0
746,388.0,120.0,508.0
749,146.0,16.5,162.5
750,666.0,302.5,968.5
752,450.0,161.0,611.0
754,219.0,57.5,276.5
755,146.0,16.5,162.5
756,0.0,0.0,0.0
757,368.0,95.6,463.6
758,219.0,78.5,297.5
759,330.8,122.0,452.8
762,132.0,76.0,208.0
764,73.0,31.5,104.5
765,154.0,8.0,162.0
766,74.0,8.0,82.0
767,154.0,8.0,162.0
768,234.0,8.0,242.0
769,154.0,6.0,160.0
770,154.0,8.0,162.0
771,0.0,0.0,0.0
772,0.0,0.0,0.0
773,0.0,0.0,0.0
774,0.0,0.0,0.0
775,0.0,0.0,0.0
776,600.0,168.0,768.0
778,74.0,64.5,138.5
779,230.0,97.5,327.5
781,296.0,28.0,324.0
782,148.0,14.0,162.0
783,148.0,14.0,162.0
784,296.0,28.0,324.0
785,74.0,7.0,81.0
786,227.2,111.5,338.7
787,148.0,16.5,164.5
788,146.0,39.0,185.0
789,73.0,44.5,117.5
790,296.0,46.0,342.0
791,296.0,28.0,324.0
792,150.0,37.0,187.0
793,202.0,63.0,265.0
796,202.0,36.0,238.0
799,296.0,28.0,324.0
800,251.0,70.0,321.0
801,60.83,2.0,62.83
802,290.0,60.0,350.0
804,692.7,246.0,938.7
805,692.7,223.5,916.2
807,692.7,316.0,1008.7
809,1695.9,376.0,2071.9
811,931.5,339.0,1270.5
813,125.4,285.5,410.9
815,74.0,9.5,83.5
816,280.0,195.0,475.0
818,216.0,44.0,260.0
819,350.0,70.0,420.0
821,370.0,33.0,403.0
822,148.0,14.0,162.0
823,111.0,27.0,138.0
824,370.0,37.5,407.5
825,298.0,48.0,346.0
830,355.0,115.0,470.0
833,146.0,49.0,195.0
836,370.0,80.0,450.0
838,231.0,90.0,321.0
839,112.0,12.0,124.0
840,92.0,37.0,129.0
842,135.0,47.0,182.0
844,177.0,77.0,254.0
845,25.0,17.0,42.0
846,174.0,44.0,218.0
848,60.6,17.0,77.6
851,690.0,97.5,787.5
852,237.0,43.0,280.0
853,146.0,83.0,229.0
855,438.0,76.0,514.0
857,205.0,46.5,251.5
858,690.0,85.0,775.0
859,86.0,55.0,141.0
861,690.0,80.5,770.5
862,46.0,83.0,129.0
863,0.0,2.5,2.5
864,135.9,28.0,163.9
866,690.0,168.5,858.5
867,117.0,21.0,138.0
868,601.0,121.0,722.0
872,151.11,59.0,210.11
873,151.11,77.5,228.61
877,201.0,75.5,276.5
878,146.0,26.0,172.0
880,146.0,33.0,179.0
882,168.0,105.1,273.1
884,268.0,92.0,360.0
885,231.0,40.0,271.0
886,204.0,44.5,248.5
888,168.0,30.0,198.0
890,146.0,34.0,180.0
891,327.22,129.3,456.52000000000004
892,118.0,14.0,132.0
893,232.0,176.5,408.5
895,148.26,23.0,171.26
900,92.0,28.0,120.0
902,151.92,42.0,193.92
904,168.0,30.0,198.0
906,138.0,132.0,270.0
908,158.0,183.49,341.49
909,73.0,7.0,80.0
910,249.0,21.0,270.0
911,83.0,75.0,158.0
912,350.0,76.5,426.5
914,207.0,36.0,243.0
915,59.0,7.0,66.0
916,0.0,0.0,0.0
917,79.0,11.0,90.0
919,112.0,37.0,149.0
920,180.66,30.0,210.66
921,128.0,18.0,146.0
923,0.0,4.0,4.0
925,73.0,7.0,80.0
926,158.0,33.5,191.5
928,168.0,44.0,212.0
929,219.0,32.5,251.5
930,168.0,42.5,210.5
932,158.8,38.2,197.0
933,118.0,30.5,148.5
934,158.0,16.5,174.5
935,173.1,18.3,191.4
936,224.0,40.0,264.0
938,224.0,40.0,264.0
940,224.0,60.0,284.0
942,170.0,61.7,231.7
944,53.2,21.8,75.0
946,54.0,42.0,96.0
948,126.0,39.0,165.0
949,73.0,9.5,82.5
950,128.0,14.0,142.0
951,126.0,46.0,172.0
953,116.14,28.0,144.14
955,126.0,46.0,172.0
957,73.0,7.0,80.0
958,126.0,46.0,172.0
960,126.0,46.0,172.0
961,378.0,199.5,577.5
962,126.0,51.0,177.0
963,126.0,28.0,154.0
965,290.0,301.0,591.0
967,128.0,193.24,321.24
968,0.0,6.2,6.2
969,219.0,59.0,278.0
970,295.12,72.48,367.6
972,158.0,14.5,172.5
974,316.0,49.5,365.5
975,316.0,26.0,342.0
976,79.0,7.0,86.0
977,790.0,64.0,854.0
978,94.0,7.0,101.0
979,138.0,113.0,251.0
